timestamp, lvl, ground_vel, total_world_vel, body_vel_x, body_vel_y, body_vel_z
5174.399, 1, 0.0, 0.0, 607.61154855643, 0.0, 0.0
5176.414, 1, 362.35988390594, 611.53560999978, 611.50119649186, -0.64830810265878, 11.153474932708
5178.463, 1, 369.40485174856, 623.86491705676, 623.90686682701, -4.377233247384, -1.9831327735074
5191.125, 1, 372.91120469655, 630.42633955624, 630.45988282623, -2.6144892025596, 4.9044696649168
5208.732, 1, 378.22852887643, 639.13115161924, 639.11574235329, 0.454015613362, 9.1411544572462
5210.769, 1, 383.50919320917, 648.52599218808, 648.52751538725, -2.8903003552705, 7.4431004902039
5212.81, 1, 388.89734965077, 657.44789654905, 657.48485912018, -1.2366023222609, -2.899652118822
5214.86, 1, 392.85569753493, 663.09920891435, 662.90392454274, -2.4779344978655, -16.670626785696
5216.917, 1, 395.6293161396, 667.82155108562, 667.80549744751, -4.6948299521095, 6.0512404368799
5218.935, 1, 398.78167101344, 673.62988758363, 673.62762543148, -4.6475803086624, 5.3024919032827
5220.98, 1, 401.79857254518, 678.25385138022, 676.70666038692, -4.2915832599076, -45.500099611448
5222.983, 1, 398.11747550761, 674.79765059846, 674.05162760098, -3.9094327455927, -30.796380171675
5225.011, 1, 390.80973739272, 666.73257022263, 666.69274524673, -3.8582972584922, -0.055997630559438
5227.069, 1, 389.58053228757, 661.77896191062, 661.75031213959, -3.7696701298277, 1.2307278485531
5229.093, 1, 389.4533927259, 659.34015968416, 659.31977722892, -3.6799652947915, 2.2778681742733
5231.1, 1, 388.78834421296, 657.89163769349, 657.85990701488, -3.5909672571956, -4.5388502674847
5233.112, 1, 388.49892286444, 657.01095912846, 656.98561891995, -3.5056980413927, -4.12525523342
5235.163, 1, 388.55231820515, 656.74042619575, 656.72070057239, -3.4213875161653, -3.8060364370442
5237.175, 1, 388.93922408648, 657.09127271509, 657.07724274124, -3.3423647077482, -3.4675475030178
5239.199, 1, 389.64729386489, 658.03977974571, 658.0310115224, -3.2664295193707, -3.1086274374572
5241.211, 1, 390.65734347195, 659.55940852599, 659.55434413166, -3.1940461998202, -2.7373531175055
5243.217, 1, 391.94100691275, 661.59831058472, 661.59934400709, -3.1256054607249, -2.3625854988199
5245.221, 1, 394.11971950505, 665.29554961845, 665.291978855, -2.8688194824057, 5.224641089671
5247.247, 1, 397.13913994113, 671.00537578763, 671.02245630908, -0.96971242681064, 4.7008816010367
5249.304, 1, 400.52809151897, 676.15936738067, 675.76378140468, -2.9532803004119, -23.251367773374
5251.305, 1, 401.80272726252, 678.1550758257, 678.12230864842, -3.6583726269824, 7.2250222120128
5253.338, 1, 403.8375603128, 681.78466623787, 681.77322554453, -4.1974421399386, 5.5041295559833
5255.399, 1, 406.292643494, 687.44348004097, 686.93528459395, -1.2992674336187, 27.401331780507
5257.439, 1, 407.92657399908, 697.03578358958, 695.79658784114, -25.994925005933, 33.742971598938
5259.489, 1, 410.25308088034, 711.28941419231, 710.45262484276, -30.647176213143, 19.434761679987
5261.511, 1, 421.66837673194, 714.9017431457, 714.49584905049, 23.986334384843, 7.7825120426812
5263.55, 1, 426.18720896212, 722.23814946202, 722.10962644101, 6.6501922468377, -13.471024516015
5265.554, 1, 430.37440316779, 727.23415507045, 727.21036198864, 4.532431849412, -6.138618708954
5267.61, 1, 432.43771509075, 731.37816741974, 731.32461010064, 2.3448325578671, 10.485976177952
5269.649, 1, 435.23353543885, 735.78633999381, 735.77127679433, 6.0091728188, 4.1521626175995
5271.703, 1, 435.40235906961, 735.05988205923, 734.41553646978, 3.9691132312328, -29.966207181618
5273.713, 1, 434.89357701102, 734.14206780527, 734.12433076749, -0.73666368918849, -4.6530791408954
5275.726, 1, 434.69099843609, 733.7718654845, 733.74523414808, -2.8960920216713, -5.3384803906169
5277.746, 1, 434.52913882034, 733.50362891107, 733.46177318437, -4.8953174222244, -5.9472963449578
5279.76, 1, 435.1346980261, 734.57226329839, 734.19687514181, -23.865913046164, 2.4258195364877
5281.792, 1, 436.98857824388, 737.81773432588, 737.74185874029, -11.632752995925, 1.9651376707889
5283.853, 1, 435.82972757489, 736.67156474188, 736.29849592755, -9.8270057457309, -20.541499822587
5285.87, 1, 432.79534389824, 732.70582298844, 732.60667091171, -7.8335401452329, 7.8888043618916
5287.931, 1, 434.06991928608, 732.63918632044, 732.56854904504, -0.14813846457366, 11.268307599534
5289.958, 1, 435.71399352119, 735.42952457723, 735.42963446072, -3.5780478002693, -1.9435331334191
5291.968, 1, 436.71608861054, 737.08302919181, 737.01816477109, -2.9896081781494, 10.161251316289
5294.013, 1, 438.24672404429, 739.76950029703, 739.76801683908, -3.0852994648287, 3.8880772830658
5296.066, 1, 438.71169023467, 740.72049164772, 740.54725639663, -2.7092448936923, -15.381840730737
5298.09, 1, 434.47030231051, 736.61638013879, 736.36332936589, -2.5777192292676, -17.793796072543
5300.125, 1, 432.03463437225, 731.82051148905, 731.67864909795, -2.5048117493348, 13.35361797098
5302.192, 1, 432.46044702109, 730.48811789215, 730.45692551231, -3.464476614431, 5.5484212497264
5304.233, 1, 432.94365909593, 730.83504254202, 730.80136924917, -3.8860833930394, 6.5190349818232
5306.245, 1, 434.06508029829, 732.61294024235, 732.57821595135, -3.7998416839607, 7.4950398466
5308.283, 1, 435.81523280707, 735.7841885634, 735.78200967387, -3.2811945952612, -3.7716366866487
5310.301, 1, 437.49023223349, 738.44428159233, 738.40587467996, -2.861162314558, -7.8337763764442
5312.335, 1, 437.6662498341, 738.92557962803, 738.8799993773, -1.6271092988106, -7.6630206648691
