timestamp, lvl, ground_vel, angle_of_attack_rad, sideslip_angle_rad, rot_vel_x, rot_vel_y, rot_vel_z, g_force, stall_warning, aoa_indicator
1633403433, 4, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
1633403435, 4, 362.29525264449, 0.018697317834055, 0.16596718896039, -0.44934881737149, 0.078582045560411, -2.377952472762, 1.0083618187249, 0.0, 2.969940662384
1633403437, 4, 367.23279329194, 0.04596734367959, 0.16625785271457, -0.46922442002078, 0.10474359740705, -2.5484461237286, 1.7838785693906, 0.0, 2.7195861339569
1633403439, 4, 368.7926729116, 0.052334696174072, 0.14808338022598, -0.45042969143235, 0.070375394482332, -2.7053672970218, 2.0814843563891, 0.0, 2.6611301898956
1633403441, 4, 368.59995772932, 0.057998084377617, 0.13122332438407, -0.36274734405956, 0.083948364701988, -1.7770729476102, 2.5243911920443, 0.0, 2.6091370582581
1633403443, 4, 399.37016122152, 0.091953803979821, -0.0097961081853896, -0.16760751098872, -0.05132465828638, 0.036784854982169, 3.7507539870152, 0.0, 2.297404050827
1633403445, 4, 404.72531980223, 0.092509051567208, 0.014917137005613, -0.11537752285341, 0.049983260856298, -0.34322546227133, 3.8861614438353, 0.0, 2.2923064231873
1633403447, 4, 408.87760261703, -0.0021993782889897, 0.0055210348311711, -0.079665748313254, 0.016316200759968, -0.23067635179093, 0.88070964884015, 0.0, 3.1415927410126
1633403449, 4, 409.04608792496, 0.042274396171002, 0.010288908653986, -0.073774612510122, 0.042115094538107, -0.15289759734202, 2.298393845606, 0.0, 2.7534894943237
1633403451, 4, 406.51103165823, 0.046786663187013, 0.0090919845844349, -0.10047809460491, 0.039016783070952, -0.0023581111645821, 2.4068944950538, 0.0, 2.7120642662048
1633403453, 4, 384.78782142799, 0.12881174119876, 0.027143286658052, -0.21577315374414, 0.037319995934989, -0.15323240604643, 4.6467826835654, 0.0, 1.9590268135071
1633403455, 4, 330.69226459927, 0.23301594589597, -0.16598395980812, -0.32532629115444, 0.11062182196862, 0.19719692444967, 6.1451946556503, 1.0, 1.0023723840714
